187,189,247,213,1.000000
185,188,245,212,0.967498
185,186,246,210,0.968606
183,186,244,210,0.965663
182,184,244,208,0.901400
181,183,242,207,0.911666
180,183,240,206,0.840025
180,181,239,204,0.774200
179,181,237,203,0.699495
177,180,235,202,0.678280
179,179,236,201,0.585350
178,179,235,201,0.662480
176,178,233,200,0.218220
178,179,230,199,0.530408
184,179,230,197,0.560725
186,179,229,196,0.378233
190,179,231,195,0.222946
191,179,226,193,0.240926
195,180,230,194,0.387280
197,179,232,193,0.513167
193,178,236,195,0.407731
195,177,239,194,0.280004
191,174,247,196,0.387849
190,174,246,196,0.430626
155,161,215,185,0.657600
158,162,218,186,0.608943
164,161,218,183,0.511532
164,162,217,183,0.412083
164,162,211,181,0.519883
166,163,208,180,0.244970
166,165,205,181,0.238205
172,165,206,179,0.176042
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
136,157,196,181,0.319775
136,158,195,182,0.202676
137,158,194,181,0.216346
142,159,193,179,0.210614
129,155,189,179,0.693521
124,154,190,180,0.777539
124,154,189,180,0.502250
121,155,185,181,0.329244
120,154,184,180,0.624901
118,155,183,181,0.577634
115,155,180,181,0.542835
115,155,178,180,0.179899
112,155,174,180,0.332895
112,155,174,180,0.196444
110,155,172,180,0.500637
110,155,172,180,0.201580
112,154,173,179,0.337372
113,155,174,180,0.204103
114,153,175,178,0.206964
117,154,178,179,0.207106
119,152,180,177,0.509994
123,151,185,176,0.202801
126,150,188,175,0.202102
128,148,191,173,0.198826
132,148,195,173,0.199579
137,146,200,171,0.644894
141,145,203,170,0.208759
146,144,208,169,0.203214
150,143,213,168,0.207823
152,143,214,168,0.550725
156,142,218,167,0.331707
159,141,220,166,0.335477
161,140,222,165,0.821809
167,139,228,164,0.664201
167,139,228,164,0.340480
174,138,234,163,0.766672
175,137,236,162,0.577716
178,137,239,162,0.209423
183,136,244,161,0.596413
184,136,244,161,0.202884
192,134,252,158,0.827175
192,134,252,158,0.693847
194,133,254,157,0.344931
194,134,254,158,0.676366
195,134,255,158,0.204162
197,135,256,159,0.680639
197,135,256,159,0.584000
199,135,258,159,0.594008
199,136,257,160,0.206646
197,136,256,160,0.607083
196,137,256,161,0.353207
193,138,253,162,0.488822
191,139,251,163,0.363965
189,141,250,166,0.216801
186,143,247,168,0.533200
186,146,247,171,0.206161
180,147,241,172,1.000000
180,149,241,174,0.204372
174,152,236,177,0.454510
173,153,235,178,0.339193
167,157,229,182,0.342124
167,158,228,183,0.620947
162,159,223,184,0.659379
161,161,222,186,0.469183
160,161,221,186,0.343831
158,162,218,186,0.349542
157,161,217,185,0.727254
156,160,216,184,0.354264
153,159,213,183,1.000000
151,158,211,182,0.217260
150,157,211,181,0.221690
147,155,208,179,0.839855
146,154,207,178,0.224274
143,153,204,177,1.000000
139,151,200,175,0.213373
139,150,200,174,0.208601
134,149,195,173,0.336907
134,147,195,171,0.340494
132,146,193,170,1.000000
130,144,191,168,0.987802
129,143,190,167,1.000000
127,143,188,167,0.332458
125,143,186,167,0.329857
125,143,183,166,0.640246
126,144,184,167,0.344499
125,144,184,167,0.206003
126,144,185,167,1.000000
128,144,186,167,0.321045
129,144,187,167,0.636036
130,144,188,167,0.624140
131,144,189,167,1.000000
132,144,190,167,0.189784
135,143,193,166,1.000000
139,143,197,166,0.763519
142,142,201,165,0.710334
145,142,204,165,0.974714
147,141,207,164,0.996574
152,140,211,163,0.932839
154,140,213,163,-0.000006
157,139,216,162,1.000000
162,137,219,160,0.969880
164,135,222,158,0.774139
166,132,224,155,-0.000007
170,130,228,153,1.000000
172,128,230,151,0.939455
175,124,231,146,1.000000
176,122,233,145,0.932845
177,120,234,143,0.885560
178,119,235,142,0.767726
178,120,235,143,0.893660
179,120,236,143,0.429981
178,121,237,144,-0.000009
179,122,237,145,0.990007
180,123,238,146,0.577190
181,124,239,147,1.000000
182,126,239,149,0.845140
181,126,239,149,0.800042
182,128,241,151,0.197265
181,128,240,151,0.927206
183,128,241,151,0.701954
184,130,242,153,0.817810
185,130,243,153,0.197660
184,130,245,154,0.200503
187,132,243,155,0.195935
188,133,244,156,-0.000006
186,134,243,157,-0.000007
187,135,244,158,0.686112
187,135,245,158,0.754363
188,135,247,158,0.843067
186,135,246,159,0.736028
187,135,247,159,0.951749
188,135,248,159,-0.000007
186,136,246,160,1.000000
188,137,248,161,0.369168
187,137,247,161,1.000000
188,137,248,161,0.848430
190,138,249,162,0.955266
192,138,250,162,-0.000007
191,138,249,162,0.874880
